"competitorId","competitorName","firstName","lastName","gender","genderId","age","ageNull","height","heightNull","weight","weightNull","bmi","bmiNull","affiliateName","affiliateId","countryOfOriginName","countryOfOriginCode","regionName","regionId","status","statusId","year","overallRank","overallScore","openCompetitor","openRank","openScore","gamesCompetitions","openCompetitions"
36734,"Kristan Clever","Kristan","Clever","F",2,27,0,158,0,59,0,23.6340330075308,0,"",0,"",0,"",0,"ACT",1,2009,4,75,0,1000,5000,1,2
36776,"Colleen Maher","Colleen","Maher","F",2,16,0,158,0,65.6666666666667,1,24.014145599118,1,"Front Range CrossFit",921,"United States",1,"North America",1,"CUT",4,2012,40,254,1,24,488,1,1
37537,"Alessandra Pichelli","Alessandra","Pichelli","F",2,27,0,168,0,71,0,25.15589569161,0,"Diablo CrossFit",793,"United States",1,"North America",1,"ACT",1,2013,4,818,1,8,221,1,1
38209,"Lucas Parker","Lucas","Parker","M",1,21,0,173,0,87,0,29.0687961508904,0,"",0,"Canada",5,"North America",1,"CUT",4,2011,26,260,1,109,1721,1,1
38371,"Jill Digiampaolo","Jill","Digiampaolo","F",2,30,0,161,0,59,0,22.7614675359747,0,"",0,"",0,"",0,"CUT",4,2009,26,138,0,1000,5000,1,6
38474,"Ashleigh Moe","Ashleigh","Moe","F",2,26,0,158,0,59,0,23.6340330075308,0,"",0,"",0,"",0,"CUT",4,2010,24,122,0,1000,5000,1,6
39517,"Emilia Leppanen","Emilia","Leppanen","F",2,32,0,165,0,69,0,25.3443526170799,0,"CrossFit Kreis 9",12469,"Finland",4,"Europe",4,"CUT",4,2019,55,40,1,44,783,1,1
39754,"Daniel Petro","Daniel","Petro","M",1,25,0,181,0,96,0,29.3031348249443,0,"CrossFit West Cobb",5383,"United States",1,"North America",1,"ACT",1,2013,13,629,1,16,408,1,1
40339,"Michele Vieux","Michele","Vieux","F",2,30,0,165.374825174825,1,65.6666666666667,1,24.014145599118,1,"",0,"",0,"",0,"ACT",1,2008,19,27,0,1000,5000,1,1
40822,"Alicia Gomes","Alicia","Gomes","F",2,32,0,158,0,59,0,23.6340330075308,0,"CrossFit Wicked",2793,"United States",1,"North America",1,"CUT",4,2012,32,369,1,68,935,1,1
40939,"Sarah Dunsmore","Sarah","Dunsmore","F",2,28,0,165.374825174825,1,65.6666666666667,1,24.014145599118,1,"",0,"",0,"",0,"DNF",3,2009,13,74,0,1000,5000,1,1
40955,"Ricky Garard","Ricky","Garard","M",1,23,0,179,0,91,0,28.4011110764333,0,"",0,"Australia",3,"Oceania",7,"DQ",5,2017,-1,834,1,23,516,1,1
41091,"Jennifer Kellams","Jennifer","Kellams","F",2,31,0,163,0,55,0,20.7008167413151,0,"",0,"",0,"",0,"CUT",4,2009,64,106,0,1000,5000,1,2
41231,"Saul Jimenez","Saul","Jimenez","M",1,45,0,171,0,80,0,27.3588454567217,0,"",0,"",0,"",0,"WD",2,2007,39,121,0,1000,5000,1,2
41298,"Matthew Griffin","Matthew","Griffin","M",1,27,0,173,0,72,0,24.0569347455645,0,"",0,"",0,"",0,"ACT",1,2008,80,25,0,1000,5000,1,2
42105,"Maggie Larson","Maggie","Larson","F",2,42,0,176,0,65,0,20.9839876033058,0,"",0,"",0,"",0,"ACT",1,2007,5,260,0,1000,5000,1,2
42206,"Kevin Simons","Kevin","Simons","M",1,23,0,171,0,88,0,30.0947300023939,0,"",0,"United States",1,"North America",1,"CUT",4,2012,37,297,1,21,739,1,1
42521,"Drew Mckenzie","Drew","Mckenzie","M",1,28,0,161,0,66,0,25.4619806334632,0,"",0,"",0,"",0,"CUT",4,2009,68,108,0,1000,5000,1,2
42556,"Steve Serrano","Steve","Serrano","M",1,19,0,178,0,80,0,25.2493372048984,0,"",0,"",0,"",0,"ACT",1,2008,115,34,0,1000,5000,1,2
42717,"Joe Scali","Joe","Scali","M",1,29,0,183,0,89,0,26.5758905909403,0,"CrossFit Semiahmoo",12721,"Canada",5,"North America",1,"WD",2,2015,38,221,1,201,4360,1,1
42803,"Orlando Trejo","Orlando","Trejo","M",1,23,0,162,0,50,0,19.0519737844841,0,"CrossFit Peru",756,"",0,"South America",3,"WD",2,2012,46,0,1,5,272,0,1
43069,"Mary Lampas","Mary","Lampas","F",2,28,0,176,0,69,0,22.2753099173554,0,"",0,"",0,"",0,"CUT",4,2010,30,104,0,1000,5000,1,2
43198,"Lindsay Vaughan","Lindsay","Vaughan","F",2,34,0,173,0,70,0,23.3886865581877,0,"CrossFit Ballina",8949,"United States",1,"North America",1,"CUT",4,2019,34,152,1,125,1557,1,1
43310,"Deric Maruquin","Deric","Maruquin","M",1,29,0,161,0,82,0,31.6345819991513,0,"",0,"",0,"",0,"CUT",4,2010,27,99,0,1000,5000,1,1
43678,"Lee Knight","Lee","Knight","F",2,31,0,161,0,57,0,21.9898923652637,0,"",0,"",0,"",0,"CUT",4,2009,71,0,0,1000,5000,0,1
43727,"Graham Spagnola","Graham","Spagnola","M",1,27,0,181,0,103,0,31.4398217392631,0,"",0,"",0,"",0,"CUT",4,2009,56,192,0,1000,5000,1,1
43761,"Ben Smith","Ben","Smith","M",1,19,0,181,0,89,0,27.1664479106254,0,"",0,"",0,"",0,"CUT",4,2009,64,215,0,1000,5000,1,1
44402,"Gary Helmick","Gary","Helmick","M",1,25,0,178,0,82,0,25.8805706350208,0,"CrossFit Revamped",4190,"United States",1,"North America",1,"CUT",4,2013,38,326,1,106,1690,1,1
45179,"Alicia Connors","Alicia","Connors","F",2,21,0,150,0,66,0,29.3333333333333,0,"",0,"",0,"",0,"CUT",4,2010,36,123,0,1000,5000,1,2
45479,"Megan Maclellan","Megan","Maclellan","F",2,22,0,171,0,74,0,25.3069320474676,0,"",0,"",0,"",0,"CUT",4,2009,24,133,0,1000,5000,1,1
